cgpa,attendance_pct,coding_score,projects_completed,internship_months,backlogs,target
8.18,76.43,4,3,14,4,1
9.28,46.5,3,3,50,5,0
7.61,30.59,6,2,25,2,1
7.47,50.98,0,4,56,3,0
6.17,25.42,2,2,55,4,1
10.0,47.37,1,3,12,3,1
7.78,35.22,2,7,28,4,1
5.59,47.2,5,1,49,3,0
5.71,49.68,2,6,4,3,1
9.17,54.16,2,2,8,4,0
5.48,59.66,1,4,18,3,1
5.52,79.73,5,3,42,4,0
9.19,45.41,0,3,21,5,1
8.76,59.88,3,2,53,4,1
5.86,41.94,2,4,17,3,1
7.69,40.96,3,4,26,4,1
6.67,40.89,2,5,52,3,1
7.32,53.42,3,3,39,3,1
6.21,19.99,4,5,57,7,1
7.65,88.92,2,6,57,4,1
8.2,72.23,5,1,21,4,1
7.14,81.37,3,0,10,2,1
8.79,37.5,3,4,2,1,0
6.78,40.78,3,3,12,5,1
6.26,59.98,1,1,20,2,1
8.14,51.14,2,4,13,2,0
6.62,54.39,3,7,56,2,1
4.66,45.25,0,2,16,4,1
6.02,29.54,1,2,28,1,0
6.29,24.57,4,3,28,4,0
4.0,52.39,3,6,53,4,1
8.12,58.66,0,7,12,4,1
8.89,55.54,1,6,17,1,1
8.27,46.17,3,3,13,3,1
6.6,33.68,1,3,2,6,1
9.19,16.44,2,2,5,5,0
6.16,85.53,3,0,31,0,0
8.66,47.15,5,1,28,3,0
5.61,56.58,3,1,21,2,0
8.3,100.0,4,7,34,1,1
7.34,80.27,1,6,57,6,1
7.77,11.04,1,7,23,0,0
6.59,66.32,1,1,31,2,1
5.68,81.11,5,2,27,2,1
5.71,68.77,5,1,56,4,1
6.87,70.54,8,4,42,6,1
6.48,94.26,2,1,55,4,1
7.7,35.58,1,6,11,1,0
8.11,46.11,2,3,20,2,0
7.63,33.08,1,6,21,3,1
6.61,58.73,5,4,53,2,0
8.74,72.64,1,2,51,4,1
7.13,66.04,4,2,21,0,0
9.0,27.6,5,6,54,6,0
4.95,48.66,3,6,46,3,1
